Year,Winner,SongLanguage
1990,Italy,italian
1991,Sweden,swedish
1992,Ireland,english
1993,Ireland,english
1994,Ireland,english
1995,Norway,norwegian
1996,Ireland,english
1997,United Kingdom,english
1998,Israel,hebrew
1999,Sweden,english
2000,Denmark,english
2001,Estonia,english
2002,Latvia,english
2003,Turkey,english
2004,Ukraine,ukrainian
2005,Greece,english
2006,Finland,english
2007,Serbia,serbian
2008,Russia,english
2009,Norway,english
2010,Germany,english
2011,Azerbaijan,english
2012,Sweden,english
2013,Denmark,english
2014,Austria,english
2015,Sweden,english
2016,Ukraine,english
2017,Portugal,portuguese
2018,Israel,english
2019,Netherlands,english
2020,None,None
2021,Italy,italian
2022,Ukraine,ukrainian
