,Edition,Year,Points type,From,To,Points
0,rotterdam-2021,2021,Points given by televoters,cyprus,greece,12
1,rotterdam-2021,2021,Points given by televoters,cyprus,italy,10
2,rotterdam-2021,2021,Points given by televoters,cyprus,france,8
3,rotterdam-2021,2021,Points given by televoters,cyprus,bulgaria,7
4,rotterdam-2021,2021,Points given by televoters,cyprus,ukraine,6
5,rotterdam-2021,2021,Points given by televoters,cyprus,lithuania,5
6,rotterdam-2021,2021,Points given by televoters,cyprus,finland,4
7,rotterdam-2021,2021,Points given by televoters,cyprus,russia,3
8,rotterdam-2021,2021,Points given by televoters,cyprus,israel,2
9,rotterdam-2021,2021,Points given by televoters,cyprus,malta,1
10,rotterdam-2021,2021,Points given by the jury,cyprus,greece,12
11,rotterdam-2021,2021,Points given by the jury,cyprus,malta,10
12,rotterdam-2021,2021,Points given by the jury,cyprus,italy,8
13,rotterdam-2021,2021,Points given by the jury,cyprus,france,7
14,rotterdam-2021,2021,Points given by the jury,cyprus,russia,6
15,rotterdam-2021,2021,Points given by the jury,cyprus,bulgaria,5
16,rotterdam-2021,2021,Points given by the jury,cyprus,belgium,4
17,rotterdam-2021,2021,Points given by the jury,cyprus,finland,3
18,rotterdam-2021,2021,Points given by the jury,cyprus,switzerland,2
19,rotterdam-2021,2021,Points given by the jury,cyprus,portugal,1
20,rotterdam-2021,2021,Points given by televoters,albania,switzerland,12
21,rotterdam-2021,2021,Points given by televoters,albania,italy,10
22,rotterdam-2021,2021,Points given by televoters,albania,greece,8
23,rotterdam-2021,2021,Points given by televoters,albania,moldova,7
24,rotterdam-2021,2021,Points given by televoters,albania,france,6
25,rotterdam-2021,2021,Points given by televoters,albania,bulgaria,5
26,rotterdam-2021,2021,Points given by televoters,albania,ukraine,4
27,rotterdam-2021,2021,Points given by televoters,albania,finland,3
28,rotterdam-2021,2021,Points given by televoters,albania,cyprus,2
29,rotterdam-2021,2021,Points given by televoters,albania,sweden,1
30,rotterdam-2021,2021,Points given by the jury,albania,switzerland,12
31,rotterdam-2021,2021,Points given by the jury,albania,france,10
32,rotterdam-2021,2021,Points given by the jury,albania,malta,8
33,rotterdam-2021,2021,Points given by the jury,albania,cyprus,7
34,rotterdam-2021,2021,Points given by the jury,albania,greece,6
35,rotterdam-2021,2021,Points given by the jury,albania,san marino,5
36,rotterdam-2021,2021,Points given by the jury,albania,italy,4
37,rotterdam-2021,2021,Points given by the jury,albania,finland,3
38,rotterdam-2021,2021,Points given by the jury,albania,azerbaijan,2
39,rotterdam-2021,2021,Points given by the jury,albania,serbia,1
